Platform,App,User,Date,Rating,Review,Title
Apple App Store,OneNote,Juygngfhj,9/4/25 17:30,2,We used this and it would mess up all the time. We would lose notes. Wouldn’t synch properly. Tried paying for it snd made no difference. Now we use paid version of Evernote which is way better fir what we need.,Glitches
Apple App Store,OneNote,Hamid jafarigol,9/5/25 17:30,5,Very useful and user friendly,One note
Apple App Store,OneNote,jrhenfhjbsdfjdffnjckcdfjkn,9/6/25 17:30,1,"Converting written notes to pdf is tedious and the pages always cutoff my writing. Moving text around doesn’t work either because OneNote makes its own page breaks wherever it feels like. I don’t understand why you can’t write on standard pages instead of a long, singular page or even set breakpoints for pdf export. Waste of time",PDF export??
Apple App Store,OneNote,ma.amin,9/7/25 17:30,5,Microsoft Office onenote is one of the best note taking apps ever made,Great note taking app
Apple App Store,OneNote,Asianguy58900,9/8/25 17:30,1,app was working great until the task bar was white while everything was in dark mode,it keeps changing
Apple App Store,OneNote,Mike Is Irritated,9/9/25 17:30,1,Stuck on “Misplaced Sections is read only”.   Can’t edit anything,App is inoperable
Apple App Store,OneNote,Lefties!!!!,9/10/25 17:30,1,MAKE OPTION FOR LEFT HANDED PEOPLE!!!!!!!!!!!,MAKE OPTION FOR LEFT HANDED PEOPLE!!!!!!!!!!!
Apple App Store,OneNote,Kaua’i Oahu Maui,9/11/25 17:30,2,"This notes app is great Microsoft however you could have totally make it easier to change fonts and font sizes instead you make it difficult. 
Id like to see font sizing and font available right inside the note so you don’t have to back out go to settings go back in. Maybe I just don’t know how to do it but in today’s world design should be built for dummy’s.",Everything is great but
Apple App Store,OneNote,jorge1561p,9/12/25 17:30,4,Is my favorite note nook app but right now needs an update to support the features of the new apple pencil pro. Features like hovering or pressing the pencil. Other apps not native from apple already have done this updates.,Needs update for Apple Pencil pro
Apple App Store,OneNote,JaeGuz,9/13/25 17:30,5,Very helpful for my HR notes for study,Love it
Apple App Store,OneNote,hezmigi13,9/14/25 17:30,5,"Use this daily for record keeping,  recipes , research notes, garden, purchase notes & more.  Each topic in a separate notebook. The search box lets me find specific notes quickly.  Many useful features.",My favorite app!
Apple App Store,OneNote,Rob8998,9/15/25 17:30,1,This app does not update the sticky notes.,Update
Apple App Store,OneNote,MotorolaRazrAura,9/16/25 17:30,5,"Microsoft OneNote is a powerful and intuitive tool that has completely transformed the way I take notes and stay organized. Its user-friendly interface makes it easy to create, structure, and access notes across multiple devices. Whether you’re a student, professional, or creative thinker, OneNote adapts to your needs.

One of the standout features is the seamless syncing across platforms, which allows me to pick up right where I left off, whether I’m on my laptop, phone, or tablet. The ability to insert images, audio, handwritten notes, and even web clippings makes it incredibly versatile. I especially love the notebook-section-page structure, which mimics a real notebook but with endless customization.

OneNote also excels in collaboration. Sharing notes with colleagues and working on them in real-time has made teamwork more efficient. The search function is fast and reliable, helping me find old notes in seconds.

In short, OneNote is more than just a note-taking app — it’s a complete information management system. For anyone who values organization and flexibility, it’s an essential tool.",OneNote – The Ultimate Digital Notebook for Organized Minds
Apple App Store,OneNote,Momof5pluspup,9/17/25 17:30,5,I have been using OneNote to keep organized for a new social media page.  It has been incredibly helpful and easy to use.  I have been enjoying the ability to move folders as well.  Love to be organized!,Organized!
Apple App Store,OneNote,moirty,9/18/25 17:30,3,"OneNote has been my goto note taking app for more than a decade but with Apple’s recent updates and competition from other note taking apps, I am starting to feel like OneNote is falling behind on features, usability and sync efficiency.",Lowering Rating as Expectations Increase
Apple App Store,OneNote,Capt. Eagle,9/19/25 17:30,5,Since I learned about Windows and Microsoft I have love theirs products and I have been dependent on it .,Microsoft… always good products …
Apple App Store,OneNote,Kitts whiskers 3434343,9/20/25 17:30,5,U GET TO DRAW!!!!!!!!,Best game
Apple App Store,OneNote,tjw1276,9/21/25 17:30,5,Great for notes and fleshing out my thoughts. Top for business ideas and notes to make complex things not so complex.,Great app!!
Apple App Store,OneNote,chupa flor,9/22/25 17:30,5,"Es buen aplicación
Es muy bueno esta aplicación",Un reconocimiento
Apple App Store,OneNote,BaseBen,9/23/25 17:30,5,"OneNote is like many other things in life, you get out of it what you put into it, however, with OneNote the return on investment is fast and exponential!  I can attribute my current success and dare I say my last major promotion to the organizational improvements I’ve made directly related to OneNote.  Thank you for this tool and resource, AMAZING!   I am a huge proponent and promote it any and every chance I get!",The Best
Apple App Store,OneNote,LangManor,9/24/25 17:30,1,The new Microsoft is terrible. There is missing functionality. I can’t drag and drop files. OneNote is cumbersome. I expect better from this company. Independent apps like GoodNotes are much much better and school the big bad Microsoft.,Functionality
Apple App Store,Notion,The first thing0,9/25/25 17:30,5,👎👎👎👎👎,👎👎👎👎👎
Apple App Store,Notion,1StarRunner,9/26/25 17:30,3,Love the app but the niche group that likes this app also likes uniformity. The app is no longer giving me the option to attach backdrops and icons to individuals my notes when they became headers. Extremely frustrating.,Glitch: Backdrops & Icon
Apple App Store,Notion,Ceolsigehl,9/27/25 17:30,5,"Notion has become integral to organizing my personal life, my creative hobby, and my work. I use it every day. Hands down the most useful app I have ever used. I’ve tried several organization apps, note taking apps, kanban boards… nothing comes close. I recommend Notion to people constantly.",organize everything
Apple App Store,Notion,cries in braille,9/28/25 17:30,5,I absolut love notion and i’ve been using for a few years now. I love the updates they have done making it so much easier to navigate and use on the phone. I’ve also used the browser extension and if it was a bit more polished for computer it would be my primary note taking app. The only thing i wish was better is when sharing data between apps that can link with motion is nearly impossible when using the app for the phone since we don’t have access to our link. Other than that it’s been my go to.,"Love Notion but,"
Apple App Store,Notion,Markl Ryu,9/29/25 17:30,3,"I love this app, the layers to it really work well with my brain as well as referencing links and other pages; great for my DnD stuff! 
That being said, the website works way better than the app... I have so much trouble with even just basic functions in the app; randomly losing the ability to use the Enter key, in app spell check just... not replacing the word, arranging tabs tables or lines is glitchy as heck 😅 
Which is just hard for me because my Ipad is the core device I use for my creative processes, otherwise, love it~",Love this but why O.o
Apple App Store,Notion,JulitoMaraña 1,9/30/25 17:30,5,"It was hard for me to understand at first since I’m not too tech savvy but once I got the hang of it, everything started to facilitate and made my day to day for my business and personal life much more easier to manage. Really amazed by it",Amazing platform
Apple App Store,Notion,RevNMH,10/1/25 17:30,5,I struggled for the first few years to stay organized as a solopreneur. No one tool did the job. Then I dug in and spent the time designing databases in Notion that met my own needs rather than  searching for a tool that did it for me.,Notion powers my small business
Apple App Store,Notion,kevin randodmcm,10/2/25 17:30,2,the app is really bad for the app it actually is less laggy when i use it on my browser for some reason,Lag
Apple App Store,Notion,KhayamAshoornia,10/3/25 17:30,5,Best planer,Notion
Apple App Store,Notion,AppsolutelyJam,10/4/25 17:30,5,"Now that I have it, I wonder how much better life and work could have been before. I use Notion all day every day and it’s worth every cent.",Can’t live without it
Apple App Store,Notion,@itspimpcess_nae,10/5/25 17:30,5,Get it !!,Best app for ADHD and multi-faceted individuals
Apple App Store,Notion,Oak510land,10/6/25 17:30,1,"I’m a LONG TIME user of Notion, since basically the beginning of the app. Maybe it’s because they’re cramming AI into it, but Notion has become totally unreliable for my family. Updates from my wife don’t show up in shared lists and vice versa. It’s caused us a lot of headaches.","A buggy, unreliable mess"
Apple App Store,Notion,Scooch808,10/7/25 17:30,1,The one thing you need it to do it doesn’t do,Terrible search
Apple App Store,Notion,pyratejack,10/8/25 17:30,1,Its so inconvenient that I can only access notes online. There needs to be a feature that allows offline viewing.,"Online only, bad"
Apple App Store,Notion,CJ Bloch,10/9/25 17:30,5,"I haven’t been using notion long, but I can tell already that it’s going to be great to help me organize my day-to-day business operations! Looking forward to exploring more.",Helping me organize my life!
Apple App Store,Notion,shli,10/10/25 17:30,2,LOVE Notion. Hate this app. Random things stop working (like the ability to type anything on a page) allllll the time and only restarting my whole iPad fixes it. So annoying.,So buggy!
Apple App Store,Notion,Chrissulimay,10/11/25 17:30,5,All of the tools I need in one place to house the framework of my online business.,Wow
Apple App Store,Notion,VioletCantaloupe,10/12/25 17:30,5,Place to organize my thoughts and random ideas. Thanks.,Good
Apple App Store,Notion,Suburrb2,10/13/25 17:30,5,"I am loving it so far.  Using it for personal and business.  I excellent tool with a little bit of a learning curve, but the templates definitely help in the learning process.",Love it!
Apple App Store,Notion,nullden,10/14/25 17:30,1,Just constantly experiencing bugs or inconveniences,Buggy mess
Apple App Store,Notion,Батя Артур,10/15/25 17:30,1,"Расисты, больше нечего сказать",Кал и расисзм
Apple App Store,Notion,Melanie Martínez 🌺💀💎,10/16/25 17:30,5,This app structures everything in my life,The most amazing app ever
Apple App Store,Notion,Jelisa80,10/17/25 17:30,1,This app is very difficult to use and really needs some major attention to improve the user experience,App needs major improvements & new look
Apple App Store,Notion,jesss<33,10/18/25 17:30,5,Honestly this app is amazing for those who like to plan out stuff or organize ideas in a really creative ways . whether you are paying for it or not still useful!!!,Whoever created this thank you
Apple App Store,Notion,kiimmkatt,10/19/25 17:30,3,this app has tooooooo many bugs this is disappointing,bug
Apple App Store,Notion,Scott Tug,10/20/25 17:30,3,This update has made a lot of bad changes to the app on with my iPad.  When you create a new property now it sometimes doesn’t creat it. If I type the name in of what I want the new property to have it just creates a text block and doesn’t let you select the type before it is created. The top of the screen doesn’t format correctly with the Time/Date and Battery/Connection bar. The “…” at the top right is difficult to access and not open up the iPads control center.,Update Problems
Apple App Store,Notion,Mastermind Partner,10/21/25 17:30,4,"Yes, this is a great app, but I believe we can make the sharing settings a lot more simpler to navigate and understand for example, if I wanna share an income chart template to duplicate for my organization and I want to share a public link even when I add on allow full access Members that click on the link are unable to duplicate or make edits, even though I tag the setting on so it seems there may need to be an update or something along those lines great for your own use but a little bit difficult when wanting to allow duplication edits seems there may be a glitch",Sharing settings
Apple App Store,Notion,MerylSenese,10/22/25 17:30,5,It’s an amazing easy way to use and keep habits while just making notes!,My Review-
Apple App Store,Notion,Pog83648392,10/23/25 17:30,5,"I’ve tried COUNTLESS Calendar apps, journal apps, progress tracker apps, and this combines them ALL into one completely customizable app. I would recommend this to absolutely anyone who wants to organize any aspect of their life. Much love to the developers, you’ve done something special <3",Amazing.
Apple App Store,Notion,Subscription fee requirements,10/24/25 17:30,1,"The whole point of using notion is to use the videos. However, they won’t work on the iPhone app. So why bother with an app at all?",Video doesn’t work on iPhone
Apple App Store,Notion,ZoltarIV,10/25/25 17:30,5,Incredible for productivity. Best horizontal SaaS tool on the market. Can do anything with it. Legos.,Love it!
Apple App Store,Notion,Create ur own nickname,10/26/25 17:30,2,"It’s okay, but they’re moving farther from their core product, and I wouldn’t switch over now.",Probably don’t
Apple App Store,Notion,Captain Blondebeard,10/27/25 17:30,4,"I actually really love this app as a way to gather and organize my thoughts I just wish i could disable the option for AI: I don't want it, I don't use it, and sometimes when I'm writing out tasks and doing other things the AI suggestion intrudes what I'm doing - I at least want the option to hide or get rid of it","Good app, hate AI"
Apple App Store,Notion,Rafael David González,10/28/25 17:30,5,I'll be able to use this to take notes from my Russian language learning apps.,Great so far!
Apple App Store,Notion,南来北往YouTube,10/29/25 17:30,5,我是来自吉尔吉斯斯坦新光明世界大学的学生！同学给我推荐这款APP，用过之后才知道什么叫伟大！,真的好棒！
