App,User,Title,Review,Rating,Date
OneNote,US0122643,One note use to be amazing on the iPhone,"One note used to be an amazing app on iPhone. But recently I’m encountering bugs that make my user experience much worse.

When I open the app and click on a location to start typing the interface defaults to “drawing mode” instead of “typing mode”. I don’t like this because I don’t use the drawing feature. This is a new bug to me.

Also, when back spacing the typing cursor will disappear when encountering a new line. The cursor disappearing will cause the keyboard to not accept input, so cannot type or continue to back space. The cursor will not reappear until I tap the next line. The result is I cannot back space delete lines unless I tap each line. 

I’m very sad these bugs started appearing. This used to be a daily use app for me, and previously it worked flawlessly.",1,
OneNote,Spechtar,Crash Happy,"Microsoft OneNote is generally a great app for note taking. This is especially true when your computer experience is primarily cross-platform. The largest problem currently is that it crashes often on iPadOS, making it difficult to use. While Apple Notes offers a robust note taking app, it is still currently nearly not usable on Windows devices. OneNote is still the best cross-platform note-taking app. If only they could make it stable on iPadOs.",2,
OneNote,2015 TJ,One note,Best app! I love to draw and this is perfect!,5,
OneNote,Qo20s,Question Feedback,"My device is iPad Air 7, and the system is iPadOS18.5. When I use OneNote to draw (write with Apple pencil), every time I switch to writing, it automatically switches to text mode after writing a stroke, and I cannot write continuously. This seriously affects my study. I hope this bug can be fixed. OneNote is an excellent software. I hope your company can optimize it. This will help many users. Thank you.",5,
OneNote,thePuck77,Literally use it every day.,I use it literally every day.,5,
OneNote,Skarh,Zero star!!! Cannot edit notes for more than 3 wks already!,"The notification label says cannot snyc the Notes for the pass 3 weeksso it is  just Read only mode!!!!
This is trash. 
I have so many notes in this app and now i have to literally move everything out of this stupid app",1,
OneNote,monster van,I love OneNote on the desktop.   iOS meh,"I mean it works, but there are so many little annoyances.  Like having to close to sync or formatting.   Or it doesn’t work for MacOs",1,
OneNote,Chris_coy,Bad,I don't understand why that app is so bad compared to the windows version. you can't even highlight a simple piece of text normally in the app because it wants you to draw with the highlighter??? PLEASE make the app on iphone consistent with the quality of the desktop app as OneNote on desktop is the best simple note taking software on the market that uses simple notebooks and notebook sections,1,
OneNote,Claude VC,Allied health professionals best,"I find the preferencial folder and subtext, note and picture manipulations feature of one note the best. It allows me to build surgical case set up outline with picture references.",5,
OneNote,zoozol56,Doesn't sync sny more,"Well, if it doesn't sync then all the other features are kind of beside the point.
FIX THE FUNDAMENTALS",2,
OneNote,Joyce365,App Keeps Glitching and Shutting Down,The app keeps shutting down on the iPad Pro. It’s not even allowing me to write or access my work.,1,
OneNote,Quiero aprender más de Cava!,Maravillosa,Buena herramienta para facilitar los trabajos!,5,
OneNote,kriikee,Potential Adds,"There are a few things that stop me from making a 5 star review, but could just as easily be classified as personal preference. One thing not included that I liked from a different note app was a note or notebook count at the top of each notebook level. The type of writings and note creation I do would find that useful.

Another thing I personally would find useful is to be able to change the top level notebook name within the app at the notebook level rather than having to go to a folder to make that change. It is nice to reorganize in a single place rather than separate locations. I get the concern over deleting a notebook if done that way but a simple are you sure type question might help address that.

The third and last item I’ll mention is the possible need for a fourth level. There are times it seems another level could be useful.",4,
OneNote,SadieBeth89,Perfect & Free!,"I have the app on my phone, tablet and laptop. Everything I write down syncs across all platforms. I love it and it’s simple to use. A lot of free features too!",5,
OneNote,Drive 2323,Couldn’t use and lost note while syncing,"Opened up to take notes on the fly then note was lost and couldn’t update while syncing. Horrible outsourced Microsoft effort.

While you’re on iOS, you might as well just pick something that gets a little more love and attention .",2,
OneNote,50129875401,Syncing Issues,I am unable to even use the app due to syncing issues. And I just started using it and can’t do nothing on it.,1,
OneNote,gi jane 2,One Note is the sole reason I am achieving my degree in under 2 years!,The ability to screenshot something and add it to a book in one note has enabled me to finish school in record time! Thanks for this awesome resource!,5,
OneNote,Ant3690,Stopped Snycing,"Stopped syncing and Microsoft support is useless as always. Just get Evernote. This stops syncing and gives me errors all the time. Microsoft has lost it, the age of apple is getting better and better while windows becomes so terrible it can’t even sync notes. If you want terrible outsourced customers service in India than Microsoft is your company",1,
OneNote,Ctmoe,OneNote is sensational,This is the only notebook you will ever need. Using notebook on apple products. I use it for journaling and learning. Just get it.,5,
OneNote,Ta0944,Worst App Ever,"This is the worst app experience I have ever had by far. I would not wish one note on my worst enemy. I am a tech savvy young person and I had multiple meltdowns trying to save and transfer notes within this app. After I spent days transferring my notes from my school account to a personal account, one note deleted my notes and it was impossible to recover them. I lost 4 years of invaluable notes from grad school that I was relying on having as I start my career. I have never felt so irate because of technology. On top of this, it was impossible to contact Microsoft for support and I kept getting redirected to articles and ai generated answers that were unhelpful. I hate this app and will never be using it again. Do yourself a favor and steer as far clear from one note as you possible can.",1,
OneNote,Orca Matt,Needs hand writing search,Needs hand writing search function. Get with the times,1,
OneNote,Gersh&12,OneNote keeps crashing,"On my iPad, OneNote keeps crashing when I’m typing . Could you fix this ? 
Thank you.",2,
OneNote,phukiu,"Awful launch, sign-in, authentication experience","I have to sign-in EVERY TIME I send an email to OneNote, from Outlook, which is the same account. And all. Too often, it fails after making me enter my credentials and wait for it to respond. Idiotic. Insultingly so.

And now I’ve just been informed that my notes on iPhone haven’t been syncing to the cloud for perhaps as long as the last 3 weeks?!?  So now I gotta manually comb through every single notebook and manually email each page to myself as a pdf and then manually insert those into the appropriate place in OneNote on my PC (assuming that’s working properly?!?!   asThis might be enough for me to finally abandon all hope that OneNote will ever work properly on iPhone.  What a ridiculous, unworkable app!",1,
OneNote,jditje,Terrible sync,OneNote on the app on the phone does not sync with OneNote on the PC seamlessly. Can’t get it to work.,1,
OneNote,Juygngfhj,Glitches,We used this and it would mess up all the time. We would lose notes. Wouldn’t synch properly. Tried paying for it snd made no difference. Now we use paid version of Evernote which is way better fir what we need.,2,
OneNote,Hamid jafarigol,One note,Very useful and user friendly,5,
OneNote,jrhenfhjbsdfjdffnjckcdfjkn,PDF export??,"Converting written notes to pdf is tedious and the pages always cutoff my writing. Moving text around doesn’t work either because OneNote makes its own page breaks wherever it feels like. I don’t understand why you can’t write on standard pages instead of a long, singular page or even set breakpoints for pdf export. Waste of time",1,
OneNote,ma.amin,Great note taking app,Microsoft Office onenote is one of the best note taking apps ever made,5,
OneNote,Asianguy58900,it keeps changing,app was working great until the task bar was white while everything was in dark mode,1,
OneNote,Mike Is Irritated,App is inoperable,Stuck on “Misplaced Sections is read only”.   Can’t edit anything,1,
OneNote,Lefties!!!!,MAKE OPTION FOR LEFT HANDED PEOPLE!!!!!!!!!!!,MAKE OPTION FOR LEFT HANDED PEOPLE!!!!!!!!!!!,1,
OneNote,Kaua’i Oahu Maui,Everything is great but,"This notes app is great Microsoft however you could have totally make it easier to change fonts and font sizes instead you make it difficult. 
Id like to see font sizing and font available right inside the note so you don’t have to back out go to settings go back in. Maybe I just don’t know how to do it but in today’s world design should be built for dummy’s.",2,
OneNote,jorge1561p,Needs update for Apple Pencil pro,Is my favorite note nook app but right now needs an update to support the features of the new apple pencil pro. Features like hovering or pressing the pencil. Other apps not native from apple already have done this updates.,4,
OneNote,JaeGuz,Love it,Very helpful for my HR notes for study,5,
OneNote,hezmigi13,My favorite app!,"Use this daily for record keeping,  recipes , research notes, garden, purchase notes & more.  Each topic in a separate notebook. The search box lets me find specific notes quickly.  Many useful features.",5,
OneNote,Rob8998,Update,This app does not update the sticky notes.,1,
OneNote,MotorolaRazrAura,OneNote – The Ultimate Digital Notebook for Organized Minds,"Microsoft OneNote is a powerful and intuitive tool that has completely transformed the way I take notes and stay organized. Its user-friendly interface makes it easy to create, structure, and access notes across multiple devices. Whether you’re a student, professional, or creative thinker, OneNote adapts to your needs.

One of the standout features is the seamless syncing across platforms, which allows me to pick up right where I left off, whether I’m on my laptop, phone, or tablet. The ability to insert images, audio, handwritten notes, and even web clippings makes it incredibly versatile. I especially love the notebook-section-page structure, which mimics a real notebook but with endless customization.

OneNote also excels in collaboration. Sharing notes with colleagues and working on them in real-time has made teamwork more efficient. The search function is fast and reliable, helping me find old notes in seconds.

In short, OneNote is more than just a note-taking app — it’s a complete information management system. For anyone who values organization and flexibility, it’s an essential tool.",5,
OneNote,Momof5pluspup,Organized!,I have been using OneNote to keep organized for a new social media page.  It has been incredibly helpful and easy to use.  I have been enjoying the ability to move folders as well.  Love to be organized!,5,
OneNote,moirty,Lowering Rating as Expectations Increase,"OneNote has been my goto note taking app for more than a decade but with Apple’s recent updates and competition from other note taking apps, I am starting to feel like OneNote is falling behind on features, usability and sync efficiency.",3,
OneNote,Capt. Eagle,Microsoft… always good products …,Since I learned about Windows and Microsoft I have love theirs products and I have been dependent on it .,5,
OneNote,Kitts whiskers 3434343,Best game,U GET TO DRAW!!!!!!!!,5,
OneNote,tjw1276,Great app!!,Great for notes and fleshing out my thoughts. Top for business ideas and notes to make complex things not so complex.,5,
OneNote,chupa flor,Un reconocimiento,"Es buen aplicación
Es muy bueno esta aplicación",5,
OneNote,BaseBen,The Best,"OneNote is like many other things in life, you get out of it what you put into it, however, with OneNote the return on investment is fast and exponential!  I can attribute my current success and dare I say my last major promotion to the organizational improvements I’ve made directly related to OneNote.  Thank you for this tool and resource, AMAZING!   I am a huge proponent and promote it any and every chance I get!",5,
OneNote,LangManor,Functionality,The new Microsoft is terrible. There is missing functionality. I can’t drag and drop files. OneNote is cumbersome. I expect better from this company. Independent apps like GoodNotes are much much better and school the big bad Microsoft.,1,
Notion,The first thing0,👎👎👎👎👎,👎👎👎👎👎,5,
Notion,1StarRunner,Glitch: Backdrops & Icon,Love the app but the niche group that likes this app also likes uniformity. The app is no longer giving me the option to attach backdrops and icons to individuals my notes when they became headers. Extremely frustrating.,3,
Notion,Ceolsigehl,organize everything,"Notion has become integral to organizing my personal life, my creative hobby, and my work. I use it every day. Hands down the most useful app I have ever used. I’ve tried several organization apps, note taking apps, kanban boards… nothing comes close. I recommend Notion to people constantly.",5,
Notion,cries in braille,"Love Notion but,",I absolut love notion and i’ve been using for a few years now. I love the updates they have done making it so much easier to navigate and use on the phone. I’ve also used the browser extension and if it was a bit more polished for computer it would be my primary note taking app. The only thing i wish was better is when sharing data between apps that can link with motion is nearly impossible when using the app for the phone since we don’t have access to our link. Other than that it’s been my go to.,5,
Notion,Markl Ryu,Love this but why O.o,"I love this app, the layers to it really work well with my brain as well as referencing links and other pages; great for my DnD stuff! 
That being said, the website works way better than the app... I have so much trouble with even just basic functions in the app; randomly losing the ability to use the Enter key, in app spell check just... not replacing the word, arranging tabs tables or lines is glitchy as heck 😅 
Which is just hard for me because my Ipad is the core device I use for my creative processes, otherwise, love it~",3,
Notion,JulitoMaraña 1,Amazing platform,"It was hard for me to understand at first since I’m not too tech savvy but once I got the hang of it, everything started to facilitate and made my day to day for my business and personal life much more easier to manage. Really amazed by it",5,
Notion,RevNMH,Notion powers my small business,I struggled for the first few years to stay organized as a solopreneur. No one tool did the job. Then I dug in and spent the time designing databases in Notion that met my own needs rather than  searching for a tool that did it for me.,5,
Notion,kevin randodmcm,Lag,the app is really bad for the app it actually is less laggy when i use it on my browser for some reason,2,
Notion,KhayamAshoornia,Notion,Best planer,5,
Notion,AppsolutelyJam,Can’t live without it,"Now that I have it, I wonder how much better life and work could have been before. I use Notion all day every day and it’s worth every cent.",5,
Notion,@itspimpcess_nae,Best app for ADHD and multi-faceted individuals,Get it !!,5,
Notion,Oak510land,"A buggy, unreliable mess","I’m a LONG TIME user of Notion, since basically the beginning of the app. Maybe it’s because they’re cramming AI into it, but Notion has become totally unreliable for my family. Updates from my wife don’t show up in shared lists and vice versa. It’s caused us a lot of headaches.",1,
Notion,Scooch808,Terrible search,The one thing you need it to do it doesn’t do,1,
Notion,pyratejack,"Online only, bad",Its so inconvenient that I can only access notes online. There needs to be a feature that allows offline viewing.,1,
Notion,CJ Bloch,Helping me organize my life!,"I haven’t been using notion long, but I can tell already that it’s going to be great to help me organize my day-to-day business operations! Looking forward to exploring more.",5,
Notion,shli,So buggy!,LOVE Notion. Hate this app. Random things stop working (like the ability to type anything on a page) allllll the time and only restarting my whole iPad fixes it. So annoying.,2,
Notion,Chrissulimay,Wow,All of the tools I need in one place to house the framework of my online business.,5,
Notion,VioletCantaloupe,Good,Place to organize my thoughts and random ideas. Thanks.,5,
Notion,Suburrb2,Love it!,"I am loving it so far.  Using it for personal and business.  I excellent tool with a little bit of a learning curve, but the templates definitely help in the learning process.",5,
Notion,nullden,Buggy mess,Just constantly experiencing bugs or inconveniences,1,
Notion,Батя Артур,Кал и расисзм,"Расисты, больше нечего сказать",1,
Notion,Melanie Martínez 🌺💀💎,The most amazing app ever,This app structures everything in my life,5,
Notion,Jelisa80,App needs major improvements & new look,This app is very difficult to use and really needs some major attention to improve the user experience,1,
Notion,jesss<33,Whoever created this thank you,Honestly this app is amazing for those who like to plan out stuff or organize ideas in a really creative ways . whether you are paying for it or not still useful!!!,5,
Notion,kiimmkatt,bug,this app has tooooooo many bugs this is disappointing,3,
Notion,Scott Tug,Update Problems,This update has made a lot of bad changes to the app on with my iPad.  When you create a new property now it sometimes doesn’t creat it. If I type the name in of what I want the new property to have it just creates a text block and doesn’t let you select the type before it is created. The top of the screen doesn’t format correctly with the Time/Date and Battery/Connection bar. The “…” at the top right is difficult to access and not open up the iPads control center.,3,
Notion,Mastermind Partner,Sharing settings,"Yes, this is a great app, but I believe we can make the sharing settings a lot more simpler to navigate and understand for example, if I wanna share an income chart template to duplicate for my organization and I want to share a public link even when I add on allow full access Members that click on the link are unable to duplicate or make edits, even though I tag the setting on so it seems there may need to be an update or something along those lines great for your own use but a little bit difficult when wanting to allow duplication edits seems there may be a glitch",4,
Notion,MerylSenese,My Review-,It’s an amazing easy way to use and keep habits while just making notes!,5,
Notion,Pog83648392,Amazing.,"I’ve tried COUNTLESS Calendar apps, journal apps, progress tracker apps, and this combines them ALL into one completely customizable app. I would recommend this to absolutely anyone who wants to organize any aspect of their life. Much love to the developers, you’ve done something special <3",5,
Notion,Subscription fee requirements,Video doesn’t work on iPhone,"The whole point of using notion is to use the videos. However, they won’t work on the iPhone app. So why bother with an app at all?",1,
Notion,ZoltarIV,Love it!,Incredible for productivity. Best horizontal SaaS tool on the market. Can do anything with it. Legos.,5,
Notion,Create ur own nickname,Probably don’t,"It’s okay, but they’re moving farther from their core product, and I wouldn’t switch over now.",2,
Notion,Captain Blondebeard,"Good app, hate AI","I actually really love this app as a way to gather and organize my thoughts I just wish i could disable the option for AI: I don't want it, I don't use it, and sometimes when I'm writing out tasks and doing other things the AI suggestion intrudes what I'm doing - I at least want the option to hide or get rid of it",4,
Notion,Rafael David González,Great so far!,I'll be able to use this to take notes from my Russian language learning apps.,5,
Notion,南来北往YouTube,真的好棒！,我是来自吉尔吉斯斯坦新光明世界大学的学生！同学给我推荐这款APP，用过之后才知道什么叫伟大！,5,
Notion,Random cool peep,Notepad 2.0 With Huge Upgrade,"Used to just use the Notepad app, but this is wayyyy better. Kind of a lot of buttons at times which can seem intimidating but once you learn em it just makes everything so efficient. There’s some free templates in here too that make it fun to organize everything. 

For example there’s a “Track your Habits Template” and you can add whatever you want, pick a cute lil icon, and when you mark it as “done” it makes a lil streak flame and lights up green on a calendar. Scratches that itch that a normal bubble-in feature doesn’t. 

So far I haven’t found a notifications thing or alarm function but I’m confident if I actually look I’ll find something",5,
Notion,Mojo jojojojojojojojo,"Wonderful note app, just need one thing","This app is truly wonderful, and I hope they never change the free version because it has been life changing for me. Having such a robust, powerful note app for free is a blessing. The only thing I wish for, is offline note storage and editing, as at work I often don’t have signal. I think this is something I would gladly pay monthly for! That’s it! Keep the great app free, then add awesome benefits like offline notes for subscribers.
P.S. please never limit number of notes for free amounts, especially if charging a large monthly fee, and don’t spam users to subscribe! It only make people want to uninstall your app! *cough evernote*",5,
Notion,angry supporte,Teamspaces deleted everything I had worked on,"I had been using notion for about a year when I decided to use a teamspace to plan something with friends. All of a sudden I was limited in how much I could write, so I tried to leave the teamspace which was nearly IMPOSSIBLE. I finally did and it sent me to the start page (when it asks what you’ll use notion for) and once I moved past it everything I had worked on was GONE. 

I know people have had similar issues",1,
Notion,Malatrixte,Developer,Terrible tech support!!!!! Don’t relay on them. Honestly.,1,
Notion,Gab4L,Offline work error?,"Before a recent update, I was able to go into pages and see everything offline. Now im not even able to click on a page unless I am online which is difficult because I dont always have data or WiFi access. Is this just a bug? Other than that the app is really great.",4,
Notion,CastChance,This needs to be fixed ASAP!!,"Notion is great— I only gave this a 1-Star Review because they wouldn’t read or pay attention to my review otherwise, but there is something on mobile that desperately needs to be fixed!! On mobile there is no way to align texts! I can’t center-align or right-align anything! There is no button for it! Please please please fix this, it’s driving me crazy and it such a shame that such a good app with so many resources doesn’t allow you to align texts the way you want them to! Also, a button for paragraph indents are essential! Please pay attention to your mobile users! Many thanks! 

 P.S: Use the word “shark” so I know the response isn’t auto-generated and that a real person has read my review.",1,
Notion,Key Rosse,Excelente organizador de ideas.,Siempre me ayuda a organizar mis ideas. Es como un cuaderno y agenda electrónica. Pero siempre sorprende con más.,5,
Notion,just.this.guy,They broke it,"One vital function it to accept a shared piece of information. It used to do it ok. Now it fails. “Something went wrong” I logged out and back in. I restarted my phone. Still broken. They have no support.  I need to look for an alternative 



Original review:
Just cause it’s a URL does NOT mean I want a link

I paste a URL into a title field so I can edit it into the title I want but they ASSUME that I must want a link. As soon as that happens, editing it is nearly impossible.  

And where exactly is the template for the ‘My links’ page?

It has potential but needs lots of work.",1,
Notion,Priyanka yo,Makes it fun,I love this app. It makes it fun to plan your life and do things,5,
Notion,ساره بلال,"Add the Arabic language. There are many Arab countries that will benefit from this application, but","Add the Arabic language. There are many Arab countries that will benefit from this application, but it is incomprehensible English, but it is very beautiful, only the Arabic language is missing, please add it",2,
Notion,Praveenkhse,Great app for all,I love notion in all ways coz it eases my work . Thanks.,5,
Notion,JeanellieChrystale,Media rollups not working,The last update has caused my roll-up photos to only show question marks.,3,
Notion,JulioGuillen80,Too slow,Too slow,1,
Notion,AerysWick,Horrible on Phone,It is so difficult to edit properties and even update things on my phone. This needs to be fixed. I don’t even want to use this anymore to keep my notes cause I’m wasting so much time trying to get it to work!,1,
Notion,Rezzenonne,Marginal,"This is still the best multi platform tool. However, using on iOS or iPadOS is a pain because this is basically a web wrapper. It freezes when we pasting text because the “pop-up”/context menu doesn’t show 99% of the time so I’m constantly force closing. 
It’s so egregious that I’m searching for a more user friendly alternative even if some features are absent.",2,
Evernote,PasMaj,Nice but note keeping up,"Used Evernote for a decade. Finding notes by searching the content has always had the accuracy of Yahoo. I hoped that AI would have changed this but it has not. Using it to search for the most obvious content is near fruitless. Standard searching with quotation marks, at least on the app, returns results with any word (not all words) in the search box. I do not understand why this issue would not be fixed, especially for subscribed customers.",1,
Evernote,Lori Dori Isom,One of my Very Best Recommendations,Evernote has been such a TREASURE for me to Digitally Organize my Life! Thanks to Everyone who helps keep Evernote up to date!🙏🏼,5,
